freq,psd_x,psd_y,psd_z,psd_xyz
149.7,2.035e+04,1.974e+04,2.619e+04,6.629e+04
151.2,2.297e+04,1.752e+04,2.416e+04,6.466e+04
152.7,1.942e+04,1.799e+04,2.633e+04,6.374e+04
154.2,2.822e+04,1.981e+04,2.966e+04,7.769e+04
155.7,2.411e+04,1.789e+04,2.965e+04,7.165e+04
157.2,3.053e+04,2.389e+04,3.852e+04,9.294e+04
158.6,2.781e+04,2.323e+04,3.931e+04,9.035e+04
160.1,2.790e+04,3.004e+04,4.419e+04,1.021e+05
161.6,3.200e+04,3.151e+04,4.486e+04,1.084e+05
163.1,3.014e+04,2.903e+04,4.188e+04,1.010e+05
164.6,3.889e+04,3.092e+04,4.547e+04,1.153e+05
166.1,3.644e+04,2.905e+04,4.127e+04,1.068e+05
167.6,3.917e+04,3.043e+04,4.156e+04,1.112e+05
169.1,4.538e+04,3.337e+04,4.427e+04,1.230e+05
170.6,3.621e+04,2.671e+04,3.823e+04,1.012e+05
172.1,4.937e+04,3.619e+04,5.199e+04,1.375e+05
173.6,4.408e+04,3.010e+04,4.424e+04,1.184e+05
175.1,4.469e+04,3.523e+04,4.487e+04,1.248e+05
176.6,5.115e+04,4.257e+04,5.870e+04,1.524e+05
178.1,4.454e+04,3.835e+04,4.673e+04,1.296e+05
179.6,4.665e+04,5.065e+04,6.157e+04,1.589e+05
181.1,5.416e+04,6.478e+04,7.381e+04,1.927e+05
182.6,3.857e+04,4.864e+04,5.245e+04,1.396e+05
184.1,5.105e+04,8.074e+04,7.282e+04,2.046e+05
185.6,5.620e+04,8.950e+04,7.533e+04,2.210e+05
187.1,5.027e+04,8.569e+04,6.298e+04,1.989e+05
188.6,6.742e+04,1.407e+05,1.080e+05,3.161e+05
190.1,7.223e+04,1.502e+05,1.146e+05,3.371e+05
191.6,5.992e+04,1.212e+05,8.479e+04,2.659e+05
193.1,7.190e+04,1.846e+05,1.464e+05,4.030e+05
194.6,9.389e+04,2.505e+05,1.806e+05,5.250e+05
196.1,9.008e+04,1.941e+05,1.162e+05,4.004e+05
197.6,1.235e+05,2.929e+05,1.611e+05,5.775e+05
199.1,1.566e+05,4.576e+05,2.302e+05,8.444e+05
