freq,psd_x,psd_y,psd_z,psd_xyz,zv(56.8),mzv(57.0),ei(69.4),2hump_ei(84.8),3hump_ei(102.0)
180.4,6.584e+02,4.949e+01,1.001e+02,8.079e+02,0.314,0.374,0.175,0.423,0.282
182.0,5.584e+02,4.283e+01,7.753e+01,6.788e+02,0.323,0.354,0.162,0.411,0.295
183.5,5.537e+02,5.846e+01,1.163e+02,7.284e+02,0.332,0.334,0.153,0.398,0.306
185.0,9.388e+02,8.108e+01,1.701e+02,1.190e+03,0.341,0.313,0.145,0.385,0.317
186.5,6.654e+02,6.757e+01,1.199e+02,8.529e+02,0.351,0.293,0.138,0.371,0.327
188.1,7.804e+02,8.448e+01,1.964e+02,1.061e+03,0.361,0.273,0.131,0.356,0.336
189.6,1.226e+03,1.162e+02,2.886e+02,1.631e+03,0.379,0.253,0.125,0.340,0.344
191.1,9.103e+02,9.097e+01,1.986e+02,1.200e+03,0.400,0.234,0.120,0.325,0.352
192.7,1.155e+03,1.226e+02,3.072e+02,1.584e+03,0.421,0.222,0.115,0.309,0.358
194.2,1.699e+03,1.744e+02,5.086e+02,2.382e+03,0.441,0.213,0.110,0.292,0.363
195.7,1.191e+03,1.130e+02,2.854e+02,1.589e+03,0.460,0.205,0.107,0.275,0.367
197.2,1.318e+03,1.584e+02,4.142e+02,1.890e+03,0.479,0.198,0.104,0.259,0.369
198.8,2.262e+03,2.175e+02,6.316e+02,3.111e+03,0.496,0.191,0.101,0.242,0.371
