freq,psd_x,psd_y,psd_z,psd_xyz
65.9,2.709e+05,1.619e+03,1.126e+03,2.736e+05
67.4,2.689e+05,2.413e+03,2.889e+03,2.742e+05
68.9,2.293e+05,2.210e+03,5.185e+03,2.367e+05
70.4,1.919e+05,1.876e+03,8.666e+03,2.025e+05
71.9,1.700e+05,2.677e+03,7.085e+03,1.798e+05
73.4,2.345e+05,4.386e+03,5.480e+03,2.444e+05
74.9,3.100e+05,6.531e+03,5.641e+03,3.222e+05
76.4,3.176e+05,6.806e+03,3.952e+03,3.283e+05
77.9,2.948e+05,7.068e+03,3.624e+03,3.055e+05
79.4,2.707e+05,7.525e+03,4.081e+03,2.823e+05
80.9,2.540e+05,7.474e+03,4.069e+03,2.656e+05
82.4,2.374e+05,6.746e+03,3.781e+03,2.480e+05
83.9,2.196e+05,6.018e+03,3.377e+03,2.290e+05
85.4,1.960e+05,5.428e+03,2.818e+03,2.043e+05
86.9,1.650e+05,4.332e+03,2.156e+03,1.715e+05
88.4,1.440e+05,3.346e+03,1.574e+03,1.490e+05
89.9,1.346e+05,3.035e+03,1.229e+03,1.389e+05
91.4,1.279e+05,3.072e+03,1.033e+03,1.320e+05
92.9,1.260e+05,2.706e+03,6.263e+02,1.293e+05
94.4,1.224e+05,1.945e+03,8.704e+02,1.252e+05
95.9,1.114e+05,2.426e+03,1.873e+03,1.157e+05
97.4,1.020e+05,2.425e+03,1.917e+03,1.064e+05
98.9,9.350e+04,1.743e+03,1.648e+03,9.689e+04
100.4,9.210e+04,1.466e+03,1.301e+03,9.487e+04
101.9,9.201e+04,1.391e+03,1.100e+03,9.450e+04
103.4,9.064e+04,1.337e+03,1.074e+03,9.305e+04
104.9,8.990e+04,1.125e+03,9.666e+02,9.199e+04
106.4,8.926e+04,8.508e+02,8.639e+02,9.098e+04
107.9,8.784e+04,5.820e+02,7.869e+02,8.921e+04
109.4,8.205e+04,3.671e+02,6.938e+02,8.311e+04
110.9,7.421e+04,4.544e+02,6.897e+02,7.535e+04
112.4,7.117e+04,7.429e+02,6.227e+02,7.254e+04
113.9,7.246e+04,9.349e+02,5.237e+02,7.392e+04
115.4,6.312e+04,1.087e+03,6.531e+02,6.486e+04
116.9,5.230e+04,1.617e+03,1.143e+03,5.506e+04
118.4,4.554e+04,2.444e+03,1.758e+03,4.974e+04
119.9,4.448e+04,3.511e+03,2.091e+03,5.008e+04
121.4,5.689e+04,5.038e+03,2.548e+03,6.447e+04
122.9,7.145e+04,7.642e+03,3.754e+03,8.284e+04
124.4,7.579e+04,9.673e+03,4.520e+03,8.998e+04
125.9,7.597e+04,1.146e+04,4.790e+03,9.222e+04
127.3,7.673e+04,1.319e+04,4.883e+03,9.481e+04
128.8,7.702e+04,1.469e+04,4.989e+03,9.669e+04
130.3,7.436e+04,1.481e+04,4.815e+03,9.399e+04
131.8,6.183e+04,1.186e+04,3.628e+03,7.731e+04
133.3,2.420e+04,4.618e+03,1.483e+03,3.031e+04
134.8,1.536e+03,6.110e+02,3.781e+02,2.525e+03
136.3,9.652e+02,1.007e+03,6.195e+02,2.592e+03
137.8,1.426e+03,1.884e+03,9.917e+02,4.302e+03
139.3,1.735e+03,1.464e+03,7.272e+02,3.925e+03
140.8,1.730e+03,5.847e+02,4.135e+02,2.728e+03
142.3,2.803e+03,1.239e+03,6.426e+02,4.685e+03
143.8,2.348e+03,2.500e+03,1.080e+03,5.928e+03
145.3,1.176e+03,2.991e+03,1.330e+03,5.496e+03
146.8,1.172e+03,3.791e+03,1.524e+03,6.487e+03
148.3,1.039e+03,4.016e+03,1.441e+03,6.496e+03
149.8,1.047e+03,3.453e+03,1.164e+03,5.663e+03
151.3,1.123e+03,2.342e+03,7.680e+02,4.234e+03
152.8,1.301e+03,1.500e+03,5.175e+02,3.318e+03
154.3,1.253e+03,1.485e+03,5.479e+02,3.286e+03
155.8,1.091e+03,1.870e+03,6.487e+02,3.610e+03
157.3,7.086e+02,1.560e+03,5.092e+02,2.778e+03
158.8,5.782e+02,1.146e+03,3.792e+02,2.103e+03
160.3,6.262e+02,9.163e+02,3.070e+02,1.849e+03
161.8,7.294e+02,7.498e+02,2.874e+02,1.767e+03
163.3,9.140e+02,6.318e+02,2.730e+02,1.819e+03
164.8,1.279e+03,6.473e+02,3.033e+02,2.230e+03
166.3,1.376e+03,7.961e+02,3.556e+02,2.528e+03
167.8,1.320e+03,9.576e+02,4.053e+02,2.683e+03
169.3,1.437e+03,1.000e+03,4.585e+02,2.896e+03
170.8,1.627e+03,9.152e+02,5.878e+02,3.130e+03
172.3,1.662e+03,1.304e+03,8.056e+02,3.772e+03
173.8,1.591e+03,1.656e+03,9.973e+02,4.245e+03
175.3,1.610e+03,1.789e+03,1.090e+03,4.489e+03
176.8,1.482e+03,2.029e+03,1.191e+03,4.702e+03
178.3,1.651e+03,2.527e+03,1.443e+03,5.621e+03
179.8,1.767e+03,2.799e+03,1.630e+03,6.196e+03
181.3,1.827e+03,2.469e+03,1.595e+03,5.891e+03
182.8,1.546e+03,2.135e+03,1.405e+03,5.086e+03
184.3,1.425e+03,1.882e+03,1.213e+03,4.520e+03
185.8,1.426e+03,1.679e+03,1.100e+03,4.205e+03
187.3,1.376e+03,1.625e+03,1.091e+03,4.092e+03
188.8,1.395e+03,1.615e+03,1.093e+03,4.103e+03
190.3,1.379e+03,1.521e+03,1.063e+03,3.963e+03
191.8,1.210e+03,1.383e+03,8.560e+02,3.449e+03
193.3,9.917e+02,1.469e+03,7.848e+02,3.246e+03
194.8,1.100e+03,1.933e+03,1.037e+03,4.069e+03
196.3,1.154e+03,1.735e+03,9.911e+02,3.880e+03
197.8,1.095e+03,1.420e+03,8.757e+02,3.391e+03
199.3,1.026e+03,1.245e+03,8.041e+02,3.075e+03
