freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.418e+02,7.315e+00,6.992e+00,4.561e+02
1.5,2.545e+02,1.894e+01,2.542e+01,2.988e+02
3.0,2.004e+01,1.939e+01,2.584e+01,6.527e+01
4.5,2.657e+02,1.847e+01,2.570e+01,3.099e+02
6.0,1.125e+03,1.857e+01,2.565e+01,1.169e+03
7.5,1.994e+03,1.913e+01,2.430e+01,2.038e+03
9.0,2.838e+03,1.881e+01,2.616e+01,2.882e+03
10.5,3.595e+03,1.998e+01,2.893e+01,3.644e+03
12.0,4.830e+03,1.976e+01,2.849e+01,4.878e+03
13.5,6.418e+03,1.936e+01,2.743e+01,6.465e+03
15.0,8.262e+03,1.714e+01,2.651e+01,8.306e+03
16.5,1.058e+04,1.741e+01,2.526e+01,1.062e+04
18.0,1.332e+04,2.563e+01,2.640e+01,1.337e+04
19.5,1.593e+04,4.545e+01,2.959e+01,1.600e+04
21.0,1.937e+04,4.875e+01,2.895e+01,1.945e+04
22.5,2.325e+04,4.101e+01,2.797e+01,2.332e+04
24.0,2.769e+04,3.259e+01,3.132e+01,2.775e+04
25.5,3.290e+04,2.662e+01,3.803e+01,3.296e+04
27.0,3.954e+04,2.589e+01,4.591e+01,3.962e+04
28.5,4.793e+04,3.160e+01,5.748e+01,4.802e+04
30.0,5.797e+04,4.185e+01,9.627e+01,5.810e+04
31.5,6.963e+04,6.760e+01,1.516e+02,6.985e+04
33.0,8.284e+04,8.651e+01,1.828e+02,8.310e+04
34.5,9.866e+04,7.568e+01,2.021e+02,9.893e+04
36.0,1.218e+05,8.096e+01,2.230e+02,1.221e+05
37.5,1.553e+05,1.186e+02,2.673e+02,1.556e+05
39.0,2.031e+05,1.963e+02,4.081e+02,2.037e+05
40.5,2.717e+05,3.602e+02,6.381e+02,2.727e+05
42.0,3.859e+05,6.766e+02,1.005e+03,3.876e+05
43.4,5.487e+05,1.291e+03,2.584e+03,5.526e+05
44.9,7.073e+05,2.154e+03,4.798e+03,7.142e+05
46.4,9.124e+05,3.364e+03,5.152e+03,9.209e+05
47.9,1.190e+06,5.237e+03,4.214e+03,1.199e+06
49.4,1.293e+06,6.186e+03,3.470e+03,1.302e+06
50.9,1.119e+06,5.980e+03,3.202e+03,1.128e+06
52.4,8.583e+05,5.306e+03,3.391e+03,8.670e+05
53.9,6.622e+05,4.304e+03,2.581e+03,6.691e+05
55.4,5.516e+05,3.220e+03,1.997e+03,5.568e+05
56.9,5.351e+05,2.821e+03,1.737e+03,5.396e+05
58.4,5.070e+05,2.323e+03,1.208e+03,5.106e+05
59.9,4.394e+05,1.708e+03,8.420e+02,4.420e+05
61.4,3.781e+05,1.556e+03,5.508e+02,3.802e+05
62.9,3.275e+05,1.557e+03,3.904e+02,3.294e+05
64.4,2.877e+05,1.403e+03,4.877e+02,2.896e+05
